module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
meanrev,time_15,LLY,3,0,1,2,0,0.3333333333333333,0.18444842499784708,0.18444842499784708,-0.03251698539656345,-0.03251698539656345,0.039804818068240065,-0.019046627706606145,0.039804818068240065,2.836185807946091,10.666666666666666,7.0,-0.04598734308652075,-0.043293271548529286,-0.04598734308652075,1.0
meanrev,time_15,MA,2,0,2,0,0,1.0,0.01039095106969945,0.01039095106969945,,,0.01039095106969945,0.01039095106969945,0.01039095106969945,inf,11.0,11.0,0.00279795965155083,0.003557258793365692,0.00279795965155083,1.0
meanrev,time_15,META,1,0,1,0,0,1.0,0.0071421512395999365,0.0071421512395999365,,,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,inf,19.0,19.0,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,1.0
meanrev,time_15,MRVL,1,0,0,1,0,0.0,,,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,0.0,9.0,9.0,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,
meanrev,time_15,NOW,2,0,1,1,0,0.5,0.08109252348947749,0.08109252348947749,-0.059085511977824745,-0.059085511977824745,0.01100350575582637,0.01100350575582637,0.01100350575582637,1.372460367609443,12.5,12.5,-0.059085511977824745,-0.05207661020445963,-0.059085511977824745,1.0
meanrev,time_15,ORCL,2,0,0,2,0,0.0,,,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,0.0,5.5,5.5,-0.10417027794415878,-0.10074222832024031,-0.10417027794415878,
meanrev,time_15,PANW,2,0,1,1,0,0.5,0.054055197233185526,0.054055197233185526,-0.07538102799497814,-0.07538102799497814,-0.01066291538089631,-0.01066291538089631,-0.01066291538089631,0.7170928636949162,6.5,6.5,-0.07538102799497814,-0.06890921673356996,-0.07538102799497814,1.0
meanrev,time_15,RTX,0,1,0,0,0,,,,,,,,,,,,,,,
meanrev,time_15,SHOP,2,0,1,1,0,0.5,0.0434645867051171,0.0434645867051171,-0.086690138035727,-0.086690138035727,-0.02161277566530495,-0.02161277566530495,-0.02161277566530495,0.501378676859464,6.5,6.5,-0.086690138035727,-0.0801824017986848,-0.086690138035727,1.0
meanrev,time_15,TSLA,1,0,1,0,0,1.0,0.07284205647065445,0.07284205647065445,,,0.07284205647065445,0.07284205647065445,0.07284205647065445,inf,22.0,22.0,0.07284205647065445,0.07284205647065445,0.07284205647065445,1.0
meanrev,time_15,TSM,1,0,0,1,0,0.0,,,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,0.0,16.0,16.0,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,
meanrev,time_15,UBER,2,0,1,1,0,0.5,0.07469704448944636,0.07469704448944636,-0.05701756489586263,-0.05701756489586263,0.008839739796791868,0.008839739796791868,0.008839739796791868,1.3100707584737035,13.5,13.5,-0.05701756489586263,-0.050431834426597176,-0.05701756489586263,1.0
meanrev,time_15,V,1,0,1,0,0,1.0,0.018658578840074824,0.018658578840074824,,,0.018658578840074824,0.018658578840074824,0.018658578840074824,inf,13.0,13.0,0.018658578840074824,0.018658578840074824,0.018658578840074824,1.0
meanrev,time_15,WMT,2,0,0,2,0,0.0,,,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,-0.021944827341514317,0.0,12.5,12.5,-0.02330407598334827,-0.023168151119164877,-0.02330407598334827,
meanrev,time_15,XOM,1,0,1,0,0,1.0,0.10229528307590563,0.10229528307590563,,,0.10229528307590563,0.10229528307590563,0.10229528307590563,inf,29.0,29.0,0.10229528307590563,0.10229528307590563,0.10229528307590563,1.0
meanrev,time_5,AAPL,4,0,2,2,0,0.5,0.038656879662838595,0.038656879662838595,-0.016236559632002157,-0.016236559632002157,0.011210160015418219,0.01713426296656878,0.011210160015418219,2.3808541057334662,8.0,8.0,-0.02874775392887874,-0.024994395639815765,-0.02874775392887874,1.0
meanrev,time_5,ABNB,1,0,1,0,0,1.0,0.12532321566664706,0.12532321566664706,,,0.12532321566664706,0.12532321566664706,0.12532321566664706,inf,16.0,16.0,0.12532321566664706,0.12532321566664706,0.12532321566664706,1.0
meanrev,time_5,AMD,1,0,0,1,0,0.0,,,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,0.0,6.0,6.0,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,
meanrev,time_5,AMZN,1,0,0,1,0,0.0,,,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,0.0,3.0,3.0,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,
meanrev,time_5,AVGO,1,0,1,0,0,1.0,0.007077589132747919,0.007077589132747919,,,0.007077589132747919,0.007077589132747919,0.007077589132747919,inf,12.0,12.0,0.007077589132747919,0.007077589132747919,0.007077589132747919,1.0
meanrev,time_5,BAC,1,0,1,0,0,1.0,0.030453721903250353,0.030453721903250353,,,0.030453721903250353,0.030453721903250353,0.030453721903250353,inf,20.0,20.0,0.030453721903250353,0.030453721903250353,0.030453721903250353,1.0
meanrev,time_5,CAT,4,0,1,3,0,0.25,0.07562377326068126,0.07562377326068126,-0.03934001341850313,-0.024303293320019015,-0.010599066748707031,-0.01936673951223017,-0.010599066748707031,0.6407706106264526,8.25,9.5,-0.07928656123104905,-0.07103907104439454,-0.07928656123104905,1.0
meanrev,time_5,COP,2,0,0,2,0,0.0,,,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,-0.03450588848378383,0.0,2.5,2.5,-0.03674302511131333,-0.03651931144856038,-0.03674302511131333,
meanrev,time_5,CRM,1,0,0,1,0,0.0,,,-0.03230219779254717,-0.03230219779254717,-0.03230219779254717,-0.03230219779254717,-0.03230219779254717,0.0,6.0,6.0,-0.03230219779254717,-0.03230219779254717,-0.03230219779254717,
meanrev,time_5,CRWD,2,0,1,1,0,0.5,0.024214218157369016,0.024214218157369016,-0.02977837806032524,-0.02977837806032524,-0.0027820799514781114,-0.0027820799514781114,-0.0027820799514781114,0.8131476505643017,9.0,9.0,-0.02977837806032524,-0.027078748249440527,-0.02977837806032524,1.0
meanrev,time_5,CVX,2,0,0,2,0,0.0,,,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,-0.03365253922483469,0.0,5.5,5.5,-0.06718853304223316,-0.06383493366049331,-0.06718853304223316,
meanrev,time_5,DE,1,0,1,0,0,1.0,0.03527910502502296,0.03527910502502296,,,0.03527910502502296,0.03527910502502296,0.03527910502502296,inf,6.0,6.0,0.03527910502502296,0.03527910502502296,0.03527910502502296,1.0
meanrev,time_5,GE,2,0,1,1,0,0.5,0.20502227349152014,0.20502227349152014,-0.0611915456711396,-0.0611915456711396,0.07191536391019027,0.07191536391019027,0.07191536391019027,3.3504999954302,12.5,12.5,-0.0611915456711396,-0.04788085471300661,-0.0611915456711396,1.0
meanrev,time_5,GOOGL,2,0,2,0,0,1.0,0.16201540139987258,0.16201540139987258,,,0.16201540139987258,0.16201540139987258,0.16201540139987258,inf,22.0,22.0,0.006904023801538983,0.022415161561372344,0.006904023801538983,1.0
meanrev,time_5,GS,1,0,1,0,0,1.0,0.128912119821051,0.128912119821051,,,0.128912119821051,0.128912119821051,0.128912119821051,inf,30.0,30.0,0.128912119821051,0.128912119821051,0.128912119821051,1.0
meanrev,time_5,HD,3,0,0,3,0,0.0,,,-0.01880750927674842,-0.01940935873855265,-0.01880750927674842,-0.01940935873855265,-0.01880750927674842,0.0,8.333333333333334,9.0,-0.02728160600758467,-0.02649438128068147,-0.02728160600758467,
meanrev,time_5,HOOD,1,0,1,0,0,1.0,0.10336747840359117,0.10336747840359117,,,0.10336747840359117,0.10336747840359117,0.10336747840359117,inf,17.0,17.0,0.10336747840359117,0.10336747840359117,0.10336747840359117,1.0
meanrev,time_5,JPM,2,0,2,0,0,1.0,0.05942360253735546,0.05942360253735546,,,0.05942360253735546,0.05942360253735546,0.05942360253735546,inf,15.5,15.5,0.0490759380865573,0.050110704531637115,0.0490759380865573,1.0
meanrev,time_5,LLY,3,0,1,2,0,0.3333333333333333,0.18444842499784708,0.18444842499784708,-0.03251698539656345,-0.03251698539656345,0.039804818068240065,-0.019046627706606145,0.039804818068240065,2.836185807946091,10.666666666666666,7.0,-0.04598734308652075,-0.043293271548529286,-0.04598734308652075,1.0
meanrev,time_5,MA,2,0,2,0,0,1.0,0.01039095106969945,0.01039095106969945,,,0.01039095106969945,0.01039095106969945,0.01039095106969945,inf,11.0,11.0,0.00279795965155083,0.003557258793365692,0.00279795965155083,1.0
meanrev,time_5,META,1,0,1,0,0,1.0,0.0071421512395999365,0.0071421512395999365,,,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,inf,19.0,19.0,0.0071421512395999365,0.0071421512395999365,0.0071421512395999365,1.0
meanrev,time_5,MRVL,1,0,0,1,0,0.0,,,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,0.0,9.0,9.0,-0.03529946125913064,-0.03529946125913064,-0.03529946125913064,
meanrev,time_5,NOW,2,0,1,1,0,0.5,0.08109252348947749,0.08109252348947749,-0.059085511977824745,-0.059085511977824745,0.01100350575582637,0.01100350575582637,0.01100350575582637,1.372460367609443,12.5,12.5,-0.059085511977824745,-0.05207661020445963,-0.059085511977824745,1.0
meanrev,time_5,ORCL,2,0,0,2,0,0.0,,,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,-0.06988978170497406,0.0,5.5,5.5,-0.10417027794415878,-0.10074222832024031,-0.10417027794415878,
meanrev,time_5,PANW,2,0,1,1,0,0.5,0.054055197233185526,0.054055197233185526,-0.07538102799497814,-0.07538102799497814,-0.01066291538089631,-0.01066291538089631,-0.01066291538089631,0.7170928636949162,6.5,6.5,-0.07538102799497814,-0.06890921673356996,-0.07538102799497814,1.0
meanrev,time_5,RTX,0,1,0,0,0,,,,,,,,,,,,,,,
meanrev,time_5,SHOP,2,0,1,1,0,0.5,0.0434645867051171,0.0434645867051171,-0.086690138035727,-0.086690138035727,-0.02161277566530495,-0.02161277566530495,-0.02161277566530495,0.501378676859464,6.5,6.5,-0.086690138035727,-0.0801824017986848,-0.086690138035727,1.0
meanrev,time_5,TSLA,1,0,1,0,0,1.0,0.07284205647065445,0.07284205647065445,,,0.07284205647065445,0.07284205647065445,0.07284205647065445,inf,22.0,22.0,0.07284205647065445,0.07284205647065445,0.07284205647065445,1.0
meanrev,time_5,TSM,1,0,0,1,0,0.0,,,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,0.0,16.0,16.0,-0.0429881023642531,-0.0429881023642531,-0.0429881023642531,
meanrev,time_5,UBER,2,0,1,1,0,0.5,0.07469704448944636,0.07469704448944636,-0.05701756489586263,-0.05701756489586263,0.008839739796791868,0.008839739796791868,0.008839739796791868,1.3100707584737035,13.5,13.5,-0.05701756489586263,-0.050431834426597176,-0.05701756489586263,1.0
meanrev,time_5,V,1,0,1,0,0,1.0,0.018658578840074824,0.018658578840074824,,,0.018658578840074824,0.018658578840074824,0.018658578840074824,inf,13.0,13.0,0.018658578840074824,0.018658578840074824,0.018658578840074824,1.0
meanrev,time_5,WMT,2,0,0,2,0,0.0,,,-0.015540420232007746,-0.015540420232007746,-0.015540420232007746,-0.015540420232007746,-0.015540420232007746,0.0,8.5,8.5,-0.02330407598334827,-0.02252771040821422,-0.02330407598334827,
meanrev,time_5,XOM,1,0,1,0,0,1.0,0.10229528307590563,0.10229528307590563,,,0.10229528307590563,0.10229528307590563,0.10229528307590563,inf,29.0,29.0,0.10229528307590563,0.10229528307590563,0.10229528307590563,1.0
pullback,baseline,AAPL,15,0,6,9,0,0.4,0.05345930787505878,0.055549454518699304,-0.01860471332342786,-0.014064292125235411,0.010220895155966796,-0.005066340818945192,0.010220895155966796,1.9156187985167001,6.933333333333334,4.0,-0.038378976944478005,-0.03697934900525111,-0.038378976944478005,0.9994072244436757
pullback,baseline,ABNB,8,0,2,6,0,0.25,0.013636728531024489,0.013636728531024489,-0.03439300792898725,-0.03365157221397824,-0.022385573813984316,-0.02461082205009013,-0.022385573813984316,0.1321657060758865,3.5,2.5,-0.06502393399402107,-0.05717321130466006,-0.06502393399402107,1.0
pullback,baseline,AMD,5,0,1,4,0,0.2,0.02349234046832982,0.02349234046832982,-0.03977297475060251,-0.03050842037397211,-0.027119911706816047,-0.029933734844327042,-0.027119911706816047,0.1476652212692108,3.6,2.0,-0.07314156735452881,-0.06472987506434649,-0.07314156735452881,1.0
pullback,baseline,AMZN,8,0,3,5,0,0.375,0.014761878683486515,0.01642245573938861,-0.030055413124279153,-0.03263571391982911,-0.013248928696367027,-0.0231209589200439,-0.013248928696367027,0.2946932445569017,4.0,2.0,-0.038505359579045884,-0.03654140972523136,-0.038505359579045884,1.0
pullback,baseline,ARM,2,0,0,2,0,0.0,,,-0.04923396923423001,-0.04923396923423001,-0.04923396923423001,-0.04923396923423001,-0.04923396923423001,0.0,2.5,2.5,-0.05922093485571611,-0.0582222382935675,-0.05922093485571611,
pullback,baseline,ASML,5,0,3,2,0,0.6,0.04182572667856969,0.015591442722869386,-0.0126562053208924,-0.0126562053208924,0.020032953878784853,0.007330258745595231,0.020032953878784853,4.957140661607944,5.0,3.0,-0.012704890080386222,-0.012685416176588693,-0.012704890080386222,1.0
pullback,baseline,AVGO,14,0,5,9,0,0.35714285714285715,0.1251343013530081,0.07468297434603,-0.03566477470126634,-0.02208525231546077,0.021763466746688814,-0.012919985001893397,0.021763466746688814,1.949235818522031,6.571428571428571,3.5,-0.098857189360119,-0.09083824416428002,-0.098857189360119,1.0
pullback,baseline,BAC,5,0,3,2,0,0.6,0.04199276829270401,0.042788359596604986,-0.007703644670532583,-0.007703644670532583,0.02211420310740937,0.003953380754627922,0.02211420310740937,8.176539175021595,6.8,4.0,-0.007911443841303378,-0.00782832417299506,-0.007911443841303378,1.0
pullback,baseline,CAT,5,0,2,3,0,0.4,0.01736288123985863,0.01736288123985863,-0.028457721662966673,-0.03930604738253851,-0.010129480501836551,-0.001685462115425418,-0.010129480501836551,0.40675266618301203,3.6,4.0,-0.04438165549093609,-0.043366533869256575,-0.04438165549093609,1.0
pullback,baseline,COIN,3,0,1,2,0,0.3333333333333333,0.3772778409455566,0.3772778409455566,-0.05194652531746641,-0.05194652531746641,0.0911282634368746,-0.05115771082503673,0.0911282634368746,3.631405937546908,3.3333333333333335,2.0,-0.05273533980989609,-0.05257757691141015,-0.05273533980989609,1.0
pullback,baseline,COP,8,0,4,4,0,0.5,0.01404002547131078,0.014754737776641491,-0.018380764203406535,-0.015564926767762888,-0.002170369366047878,-0.0024882768987932735,-0.002170369366047878,0.7638434025887084,4.875,4.0,-0.029439097830059713,-0.025215023962852225,-0.029439097830059713,1.0
pullback,baseline,COST,8,0,6,2,0,0.75,0.008727576691346384,0.006557669883411332,-0.00529683349975002,-0.00529683349975002,0.005221474143572283,0.002247990378367093,0.005221474143572283,4.943091013767909,4.875,4.5,-0.007412026222724188,-0.005931391316642271,-0.007412026222724188,0.9996294641020235
pullback,baseline,CRM,2,0,2,0,0,1.0,0.13475290239277105,0.13475290239277105,,,0.13475290239277105,0.13475290239277105,0.13475290239277105,inf,13.5,13.5,0.062189295932944866,0.06944565657892748,0.062189295932944866,1.0
pullback,baseline,CRWD,3,0,1,2,0,0.3333333333333333,0.08828724903419305,0.08828724903419305,-0.02409523192321683,-0.02409523192321683,0.013365595062586463,-0.014873303865131526,0.013365595062586463,1.8320481271052707,5.0,2.0,-0.033317159981302136,-0.031472774369685076,-0.033317159981302136,1.0
pullback,baseline,CVX,5,0,2,3,0,0.4,0.014816695638536492,0.014816695638536492,-0.024564701154420294,-0.023683079537273888,-0.00881214243723758,-0.01378453695007631,-0.00881214243723758,0.40211346477464477,3.6,4.0,-0.03622648697591069,-0.03371780548818333,-0.03622648697591069,1.0
pullback,baseline,DDOG,4,0,0,4,0,0.0,,,-0.04762209845484694,-0.05320537663956093,-0.04762209845484694,-0.05320537663956093,-0.04762209845484694,0.0,2.25,2.0,-0.07192572120350427,-0.07030627279026067,-0.07192572120350427,
pullback,baseline,DE,9,0,5,4,0,0.5555555555555556,0.03768996240217981,0.017095436077103177,-0.02302432208857208,-0.021826061187010803,0.010705835961845636,0.01022578656529971,0.010705835961845636,2.046203698049751,6.222222222222222,5.0,-0.038510803558626905,-0.03197571372176722,-0.038510803558626905,1.0
pullback,baseline,ETN,9,0,2,7,0,0.2222222222222222,0.032947929722552116,0.032947929722552116,-0.028990380172134258,-0.02448684551331337,-0.015226311306648397,-0.023435327844039566,-0.015226311306648397,0.3247178598744961,3.6666666666666665,2.0,-0.042922062868146704,-0.04147126714674998,-0.042922062868146704,1.0
pullback,baseline,GE,10,0,6,4,0,0.6,0.09986451503767861,0.06993713417465475,-0.017110162763157716,-0.01440209326799996,0.05307464391734408,0.0248650121368158,0.05307464391734408,8.754842056737548,9.5,8.0,-0.03206818287017543,-0.0249691296381498,-0.03206818287017543,0.9929657797847647
pullback,baseline,GOOGL,8,0,4,4,0,0.5,0.095299942623855,0.0790163532874445,-0.01598586906818883,-0.014238553062213333,0.03965703677783308,0.0025911515430274146,0.03965703677783308,5.961511521040645,8.125,5.0,-0.026219264432567724,-0.022076194531679326,-0.026219264432567724,1.0
pullback,baseline,GS,7,0,3,4,0,0.42857142857142855,0.016725332107847324,0.0037317885623160407,-0.023123396222006237,-0.018434698850825215,-0.00604536979492614,-0.0049575476464439605,-0.00604536979492614,0.542480825932807,5.0,4.0,-0.05066663953993056,-0.04196472934586096,-0.05066663953993056,1.0
pullback,baseline,HD,2,0,0,2,0,0.0,,,-0.019577513277249325,-0.019577513277249325,-0.019577513277249325,-0.019577513277249325,-0.019577513277249325,0.0,4.0,4.0,-0.036432239169558955,-0.03474676658032799,-0.036432239169558955,
pullback,baseline,HON,6,0,2,4,0,0.3333333333333333,0.04307375300054561,0.04307375300054561,-0.018045295981367726,-0.01788541223172546,0.00232772034593672,-0.010858982149422214,0.00232772034593672,1.1934897893894472,4.5,5.0,-0.030965914955575102,-0.02809876238444417,-0.030965914955575102,1.0
pullback,baseline,HOOD,4,0,2,2,0,0.5,0.1551366308626092,0.1551366308626092,-0.0390407977473754,-0.0390407977473754,0.0580479165576169,-0.002723108641854266,0.0580479165576169,3.973705452087966,4.5,4.5,-0.05602423054799366,-0.05092920070780818,-0.05602423054799366,1.0
pullback,baseline,JPM,11,0,6,5,0,0.5454545454545454,0.029329838092981286,0.020119552640274208,-0.018252846178049387,-0.020271826814071803,0.007701345242512799,0.003429720601263009,0.007701345242512799,1.928236581202526,8.272727272727273,6.0,-0.02821820541290654,-0.026130027564865377,-0.02821820541290654,0.9805106288552172
pullback,baseline,LLY,12,0,8,4,0,0.6666666666666666,0.06523890125622372,0.05857487844219056,-0.019669354106082643,-0.01773603201456536,0.03693614946878827,0.02055490836889995,0.03693614946878827,6.633558062391987,7.083333333333333,4.5,-0.037351377094115845,-0.02945001161882925,-0.037351377094115845,0.9190604543003292
pullback,baseline,MA,7,0,3,4,0,0.42857142857142855,0.026067344188440034,0.0017266993427320632,-0.01619972588203003,-0.011989239862411627,0.001914732719599997,-0.00720666137985726,0.001914732719599997,1.2068419110114041,4.714285714285714,3.0,-0.03361376242343961,-0.028410581599939352,-0.03361376242343961,1.0
pullback,baseline,META,6,0,4,2,0,0.6666666666666666,0.01790815128193357,0.016277192830364218,-0.027773456511627825,-0.027773456511627825,0.0026809486840797723,0.006718550619096542,0.0026809486840797723,1.289587507729621,7.166666666666667,5.5,-0.0414405196555695,-0.03460698808359866,-0.0414405196555695,1.0
pullback,baseline,MRVL,6,0,3,3,0,0.5,0.04929330909724724,0.05296851387124257,-0.05882126789744824,-0.03816931896141029,-0.0047639794001005,0.00579691347322614,-0.0047639794001005,0.8380184728963597,4.0,3.0,-0.1245550227332578,-0.10295859679029593,-0.1245550227332578,1.0
pullback,baseline,MS,10,0,4,6,0,0.4,0.044566003929702336,0.004877877451832102,-0.018164214774625192,-0.013630441205897903,0.00692787270710582,-0.007132721137988518,0.00692787270710582,1.6356704462652054,6.2,3.5,-0.039225523556140174,-0.034279086137604255,-0.039225523556140174,1.0
pullback,baseline,MSFT,5,0,2,3,0,0.4,0.019608608650350634,0.019608608650350634,-0.03530154480685536,-0.014388661705633243,-0.013337483423972962,-0.0020724554346799318,-0.013337483423972962,0.3703069040865836,7.8,7.0,-0.0894435172802529,-0.07443254616532897,-0.0894435172802529,1.0
